Title,Channel,Subscribers,Views,Likes,Duration (seconds),URL
Ae Jazba-e-Dil | Nayyar Noor | Showcase South Asia - Vol.6,EMI Pakistan,"652,000","1,668,514","21,213",295,https://www.youtube.com/watch?v=TpiAunH12Mk
TERA SAYA JAHAN BHI HO SAJNA - NAYYAR NOOR SINGS FOR SHABNAM - FILM GHARANA,FamousVideo,"1,080,000","1,081,032","3,515",265,https://www.youtube.com/watch?v=a6sVg2LkI1c
Ae Jazba e Dil Gr Mein Chahon - Nayyara Noor,Bilal Saleem,"327,000","872,660","11,428",296,https://www.youtube.com/watch?v=fQgjZ1fwqe4
NAYYARA NOOR - har chand sahara hai tere pyar ka - Madhubala .. Dilip Kumar,SONGS I LOVE,"218,000","772,871","3,418",312,https://www.youtube.com/watch?v=mzTgTGdBSgc
NAYYARA NOOR - ae ishq hamein barbaad na kar - Madhubala .. Dilip Kumar,SONGS I LOVE,"218,000","708,559","5,398",254,https://www.youtube.com/watch?v=aZuqDpv2TGM
ROOTHAY HO TUM TUMKO KAISE MANAOO PIYA - NAYYARA NOOR - FILM AINA,FamousVideo,"1,080,000","431,486","2,069",200,https://www.youtube.com/watch?v=rxThRyMLs80
THORI THORI SI PIAZ DALO JI - AHMAD RUSHDI & NAYYARA NOOR - FILM BHOOL,LollywoodCinema,"319,000","368,839","1,539",230,https://www.youtube.com/watch?v=6qV9j316NSQ
Tum Mere Pass Raho... Faiz Ahmed Faiz. Nayyara Noor.,IMIRZA777,"261,000","356,571","3,407",237,https://www.youtube.com/watch?v=J5W-f9PWz_4
JO NAAM WAHI PAHCHAN PAKISTAN || NEYRA NOOR,Kch Multimedia Naat,"6,600,000","308,865","2,406",237,https://www.youtube.com/watch?v=qmj6re5uH-Y
IS PARCHAM KE SAYE TALAY HUM AIK HAIN - NAYYARA NOOR - PAKISTANI FILM FARZ AUR MAMTA,LollywoodClassics,"2,160,000","292,422","2,264",216,https://www.youtube.com/watch?v=O0sETxsZ7NQ
Ae Ishq Humahin Barbad Na Kar   -  Nayyara Noor,Bilal Saleem,"327,000","207,141","2,207",260,https://www.youtube.com/watch?v=5zKTMf96iIs
Kabhi Hum Khoobsurat | Nayyara Noor | Showcase South Asia - Vol.6,EMI Pakistan,"652,000","154,144","2,052",224,https://www.youtube.com/watch?v=maakNfeAB70
Jab Tum Hi Nahin Apne | Nayyara Noor | @EMI Pakistan Originals,EMI Pakistan,"652,000","134,975","1,651",185,https://www.youtube.com/watch?v=pU4E01P1E3Y
Aaj Bazar Main - Poet Faiz Ahmad Faiz - Nayyara Noor - by roothmens,Roothmens TV,"215,000","109,398","1,239",262,https://www.youtube.com/watch?v=-RoFS-WDQAk
